beta 2 4
beta 2 2
beta 3 5
beta 3 1
beta 4 2
beta 4 5
beta 3 4
beta 2 5
beta 5 3
beta 4 2
beta 2 1
beta 3 1
beta 4 2
beta 4 1
beta 3 3
beta 4 4
beta 5 3
beta 5 2
beta 5 2
beta 4 1
beta 5 1
beta 4 1
beta 4 2
beta 4 5
beta 2 5
beta 2 3
beta 1 2
beta 4 1
beta 4 5
beta 3 1
beta 4 2
beta 5 4
beta 5 3
beta 1 2
beta 5 3
beta 2 2
beta 3 5
beta 1 5
beta 1 1
beta 5 4
beta 3 1
beta 2 4
beta 1 2
beta 1 4
beta 4 4
beta 1 4
beta 1 4
beta 4 5
beta 4 4
beta 3 3
beta 2 4
beta 1 5
beta 1 3
beta 4 3
beta 3 2
beta 5 4
beta 1 2
beta 4 5
beta 4 4
beta 4 3
beta 5 3
beta 5 5
beta 3 1
beta 2 4
beta 1 5
beta 4 2
beta 5 2
beta 2 2
beta 5 5
beta 2 3
beta 5 1
beta 5 5
beta 3 2
beta 5 3
beta 2 5
beta 1 2
beta 1 1
beta 5 3
beta 1 3
beta 5 3
beta 5 4
beta 1 2
beta 1 2
beta 3 5
beta 2 5
beta 2 2
beta 3 3
beta 4 5
beta 3 2
beta 5 1
beta 1 3
beta 1 2
beta 1 1
beta 4 5
beta 1 1
beta 4 3
beta 2 4
beta 5 2
beta 3 4
beta 4 5
beta 4 5
beta 5 4
beta 2 1
beta 1 5
beta 2 1
beta 5 1
beta 4 4
beta 1 1
beta 2 2
beta 4 4
beta 3 3
beta 2 2
beta 1 4
beta 3 4
beta 5 5
beta 5 2
beta 5 5
beta 4 4
beta 5 1
beta 5 2
beta 1 2
beta 2 4
beta 4 3
beta 3 1
beta 2 1
beta 2 5
beta 1 5
beta 5 3
beta 5 5
beta 5 1
beta 2 4
beta 4 4
beta 5 5
beta 5 1
beta 2 2
beta 3 3
beta 5 5
beta 5 3
beta 4 3
beta 4 2
beta 4 4
beta 5 4
beta 1 3
beta 2 5
beta 5 5
beta 5 2
beta 4 4
beta 3 3
beta 1 4
beta 3 4
beta 1 5
beta 1 5
beta 2 2
beta 1 3
beta 1 3
beta 5 4
beta 3 1
beta 1 4
beta 4 2
beta 1 5
beta 5 2
beta 3 2
beta 2 2
beta 2 5
beta 5 3
beta 5 1
beta 5 2
beta 5 4
beta 4 1
beta 5 2
beta 3 1
beta 1 3
beta 5 1
beta 2 3
beta 1 3
beta 2 3
beta 2 5
beta 5 2
beta 3 5
beta 5 2
beta 3 2
beta 5 4
beta 2 1
beta 3 2
beta 5 5
beta 2 2
beta 1 5
beta 5 3
beta 4 5
beta 5 1
beta 2 5
beta 5 5
beta 3 1
beta 2 5
beta 3 5
beta 5 3
beta 3 4
beta 1 5
beta 3 1
beta 3 4
